relative_path,class_name,label,group_id,split
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (1).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (2).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (3).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (4).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (5).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (6).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (7).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (8).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (9).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (10).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (11).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (12).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (13).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (14).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (15).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (16).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (17).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (18).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (19).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (20).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (21).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (22).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (23).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (24).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (25).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (26).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (27).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (28).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (29).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/100 (30).jpg,Normal,0,Normal_100,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (1).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (2).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (3).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (4).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (5).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (6).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (7).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (8).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (9).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (10).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (11).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (12).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (13).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (14).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (15).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (16).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (17).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (18).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (19).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (20).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (21).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (22).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (23).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (24).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (25).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (26).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (27).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (28).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (29).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (30).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/101 (31).jpg,Normal,0,Normal_101,train
data/raw/brain_ct/Brain_Data_Organised/Normal/102 (1).jpg,Normal,0,Normal_102,train
data/raw/brain_ct/Brain_Data_Organised/Normal/102 (2).jpg,Normal,0,Normal_102,train
data/raw/brain_ct/Brain_Data_Organised/Normal/102 (3).jpg,Normal,0,Normal_102,train
